"Event Date","Serial Killer Name","Serial Killer Profile URL","Event Type","Year of Event"
"01/15/1953","Robert Alton Harris","https://skdb.fandom.com/wiki/Robert_Alton_Harris","Birth","1953"
"01/15/1955","Joseph Robert Miller","https://skdb.fandom.com/wiki/Joseph_Robert_Miller","Birth","1955"
"01/15/1957","Michael St. Clair","https://skdb.fandom.com/wiki/Michael_St._Clair","Birth","1957"
"01/16/1941","Joseph Baldi","https://skdb.fandom.com/wiki/Joseph_Baldi","Birth","1941"
"01/16/1960","Marco Furlan","https://skdb.fandom.com/wiki/Marco_Furlan","Birth","1960"
"01/16/1960","Thomas Garner","https://skdb.fandom.com/wiki/Thomas_Garner","Birth","1960"
"01/17/1897","Marcel Petiot","https://skdb.fandom.com/wiki/Marcel_Petiot","Birth","1897"
"01/17/1935","Kiyoshi Ōkubo","https://skdb.fandom.com/wiki/Kiyoshi_%C5%8Ckubo","Birth","1935"
"01/17/1954","Christopher Worrell","https://skdb.fandom.com/wiki/Christopher_Worrell","Birth","1954"
"01/17/1968","Oleg Snegov","https://skdb.fandom.com/wiki/Oleg_Snegov","Birth","1968"
"01/18/1932","Clarence McCutcheon","https://skdb.fandom.com/wiki/Clarence_McCutcheon","Birth","1932"
"01/18/1957","Paul Rhoades","https://skdb.fandom.com/wiki/Paul_Rhoades","Birth","1957"
"01/18/1958","Gregory Peyton","https://skdb.fandom.com/wiki/Gregory_Peyton","Birth","1958"
"01/18/1988","Megan Waterman","https://skdb.fandom.com/wiki/Megan_Waterman","Birth","1988"
"01/19/1944","Vaughn Greenwood","https://skdb.fandom.com/wiki/Vaughn_Greenwood","Birth","1944"
"01/19/1953","Michael Lupo","https://skdb.fandom.com/wiki/Michael_Lupo","Birth","1953"
"01/19/1958","Altemio Sanchez","https://skdb.fandom.com/wiki/Altemio_Sanchez","Birth","1958"
"01/19/1962","Cynthia Coffman","https://skdb.fandom.com/wiki/Cynthia_Coffman","Birth","1962"
"01/19/1971","Claude Lastennet","https://skdb.fandom.com/wiki/Claude_Lastennet","Birth","1971"
"01/20/1958","Girvies Davis","https://skdb.fandom.com/wiki/Girvies_Davis","Birth","1958"
"01/20/1959","Joel Rifkin","https://skdb.fandom.com/wiki/Joel_Rifkin","Birth","1959"
"01/20/1969","Christopher Peterson","https://skdb.fandom.com/wiki/Christopher_Peterson","Birth","1969"
"01/21/1899","John Bodkin Adams","https://skdb.fandom.com/wiki/John_Bodkin_Adams","Birth","1899"
"01/21/1934","Émile Louis","https://skdb.fandom.com/wiki/%C3%89mile_Louis","Birth","1934"
"01/21/1937","Warren James Bland","https://skdb.fandom.com/wiki/Warren_James_Bland","Birth","1937"
"01/21/1990","Cody Legebokoff","https://skdb.fandom.com/wiki/Cody_Legebokoff","Birth","1990"
"01/22/1930","Daniel Camargo Barbosa","https://skdb.fandom.com/wiki/Daniel_Camargo_Barbosa","Birth","1930"
"01/22/1931","Elfriede Blauensteiner","https://skdb.fandom.com/wiki/Elfriede_Blauensteiner","Birth","1931"
"01/22/1951","Anatoli Neželski","https://skdb.fandom.com/wiki/Anatoli_Ne%C5%BEelski","Birth","1951"
"01/22/1952","Robledo Puch","https://skdb.fandom.com/wiki/Robledo_Puch","Birth","1952"
"01/22/1954","John Kalhauser","https://skdb.fandom.com/wiki/John_Kalhauser","Birth","1954"
"01/22/1962","Oscar Bolin","https://skdb.fandom.com/wiki/Oscar_Bolin","Birth","1962"
"01/22/1962","François Vérove","https://skdb.fandom.com/wiki/Fran%C3%A7ois_V%C3%A9rove","Birth","1962"
"01/22/1969","Shelly Andre Brooks","https://skdb.fandom.com/wiki/Shelly_Andre_Brooks","Birth","1969"
"01/23/1938","Gayno Smith","https://skdb.fandom.com/wiki/Gayno_Smith","Birth","1938"
